# English word frequency, top 30000 alphabetic tokens.
# Source: Peter Norvig, count_1w.txt (Google Web Trillion Word Corpus n-gram counts),
#   https://www.norvig.com/ngrams/ . Trimmed + filtered to [a-z]{1,20}; vendored for reproducibility.
# Format: rank<TAB>word<TAB>count
1	the	23135851162
2	of	13151942776
3	and	12997637966
4	to	12136980858
5	a	9081174698
6	in	8469404971
7	for	5933321709
8	is	4705743816
9	on	3750423199
10	that	3400031103
11	by	3350048871
12	this	3228469771
13	with	3183110675
14	i	3086225277
15	you	2996181025
16	it	2813163874
17	not	2633487141
18	or	2590739907
19	be	2398724162
20	are	2393614870
21	from	2275595356
22	at	2272272772
23	as	2247431740
24	your	2062066547
25	all	2022459848
26	have	1564202750
27	new	1551258643
28	more	1544771673
29	an	1518266684
30	was	1483428678
31	we	1390661912
32	will	1356293641
33	home	1276852170
34	can	1242323499
35	us	1229112622
36	about	1226734006
37	if	1134987907
38	page	1082121730
39	my	1059793441
40	has	1046319984
41	search	1024093118
42	free	1014107316
43	but	999899654
44	our	998757982
45	one	993536631
46	other	978481319
47	do	950751722
48	no	937112320
49	information	932594387
50	time	908705570
51	they	883223816
52	site	844310242
53	he	842847219
54	up	829969374
55	may	827822032
56	what	812395582
57	which	810514085
58	their	782849411
59	news	755424983
60	out	741601852
61	use	719980257
62	any	710741293
63	there	701170205
64	see	681410380
65	only	661844114
66	so	661809559
67	his	660177731
68	when	650621178
69	contact	645824184
70	here	639711198
71	business	637134177
72	who	630927278
73	web	619571575
74	also	616829742
75	now	611387736
76	help	611054034
77	get	605984508
78	pm	604577485
79	view	602279334
80	online	601317059
81	c	596623239
82	e	593086170
83	first	578161543
84	am	576436203
85	been	575019382
86	would	572644147
87	how	571848080
88	were	570699558
89	me	566617666
90	s	565123981
91	services	562206804
92	some	548829454
93	these	541003982
94	click	536746424
95	its	525627757
96	like	520585287
97	service	519537222
98	x	508609523
99	than	502609275
100	find	502043038
101	price	501651226
102	date	488967374
103	back	488024109
104	top	484213771
105	people	480303376
106	had	480232730
107	list	472590641
108	name	464532702
109	just	462836169
110	over	459222855
111	state	453104133
112	year	451092583
113	day	446236148
114	into	445315294
115	email	443949646
116	two	441398439
117	health	440416431
118	n	437961375
119	world	431934249
120	re	430847564
121	next	425903347
122	used	421438139
123	go	421086358
124	b	419765694
125	work	419483948
126	last	417601616
127	most	416210411
128	products	414377632
129	music	414028837
130	buy	410780176
131	data	406908328
132	make	405084642
133	them	403000411
134	should	402028056
135	product	399116355
136	system	396975018
137	post	392956436
138	her	391961061
139	city	390564835
140	t	388448018
141	add	387231739
142	policy	384401868
143	number	383787805
144	such	380725892
145	please	380046348
146	available	379644437
147	copyright	373906735
148	support	373512569
149	message	373081242
150	after	372948094
151	best	371852748
152	software	370517038
153	then	369928941
154	jan	366436194
155	good	365796396
156	video	365410017
157	well	362082755
158	d	361493758
159	where	360468339
160	info	352363058
161	rights	352051342
162	public	349286123
163	books	347710184
164	high	345413157
165	school	343057316
166	through	342373303
167	m	341583838
168	each	340892856
169	links	339926541
170	she	339171382
171	review	339067778
172	years	337841309
173	order	336631187
174	very	334923368
175	privacy	333272427
176	book	330959949
177	items	330505325
178	company	324272258
179	r	323534251
180	read	322331766
181	group	321842984
182	sex	320105999
183	need	319376932
184	many	318966441
185	user	316446229
186	said	315595259
187	de	314593284
188	does	314018806
189	set	313469591
190	under	313296421
191	general	311757793
192	research	311538382
193	university	311373936
194	january	310345867
195	mail	310337185
196	full	309929179
197	map	309676581
198	reviews	307684103
199	program	306686983
200	life	306559205
201	know	306100813
202	games	305930896
203	way	305515604
204	days	305147791
205	management	304201237
206	p	303249898
207	part	302729303
208	could	302311431
209	great	301487430
210	united	299280163
211	hotel	297974790
212	real	297674493
213	f	297285731
214	item	296534935
215	international	295639201
216	center	294319118
217	ebay	293178760
218	must	292774716
219	store	291308910
220	travel	287719294
221	comments	287558448
222	made	287353021
223	development	286291411
224	report	286237372
225	off	284035693
226	member	283858893
227	details	280827841
228	line	280009597
229	terms	277705910
230	before	277546019
231	hotels	275510917
232	did	275369513
233	send	274103587
234	right	273620358
235	type	272336859
236	because	271323986
237	local	270742935
238	those	270014141
239	using	269448880
240	results	268180843
241	office	266789622
242	education	266738068
243	national	266376620
244	car	264720374
245	design	264448339
246	take	264349801
247	posted	263851272
248	internet	263777245
249	address	261872866
250	community	261839117
251	within	261390908
252	states	260937015
253	area	259871557
254	want	258690345
255	phone	256643812
256	dvd	256530337
257	shipping	256521328
258	reserved	256443074
259	subject	256217838
260	between	255436698
261	forum	254478181
262	family	254164055
263	l	252900442
264	long	252519588
265	based	252405204
266	w	252231566
267	code	250245121
268	show	247541986
269	o	246429812
270	even	245697701
271	black	244690155
272	check	244491090
273	special	244311841
274	prices	243435728
275	website	242876222
276	index	242826246
277	being	242783091
278	women	242520455
279	much	242326300
280	sign	242290578
281	file	241864251
282	link	240402653
283	open	239670331
284	today	239271204
285	technology	238674296
286	south	238581133
287	case	235563000
288	project	235262594
289	same	234822585
290	pages	234001114
291	uk	232749142
292	version	232445953
293	section	232251956
294	own	232011723
295	found	232005894
296	sports	231864260
297	house	231310420
298	related	231127472
299	security	230014019
300	both	228648541
301	g	227771642
302	county	227567373
303	american	227534978
304	photo	227125249
305	game	227111505
306	members	226656153
307	power	226596368
308	while	226194991
309	care	225326739
310	network	225218991
311	down	224915894
312	computer	224177047
313	systems	223555915
314	three	223417394
315	total	222649459
316	place	220970235
317	end	220812328
318	following	220709925
319	download	220626128
320	h	220523502
321	him	219516023
322	without	219190105
323	per	218945655
324	access	217986984
325	think	217856550
326	north	217809513
327	resources	217268632
328	current	216987137
329	posts	216822128
330	big	216690546
331	media	216432510
332	law	216122487
333	control	215560453
334	water	215178488
335	history	215000515
336	pictures	214997918
337	size	214844153
338	art	214702696
339	personal	214671907
340	since	214302926
341	including	214195457
342	guide	213378807
343	shop	212793848
344	directory	212478717
345	board	212361059
346	location	211243333
347	change	210601244
348	white	209863729
349	text	208780080
350	small	208371878
351	rating	207858692
352	rate	207634179
353	government	206582673
354	children	206538107
355	during	206364495
356	usa	206211773
357	return	205629763
358	students	204801202
359	v	204486977
360	shopping	204104275
361	account	203611349
362	times	202950880
363	sites	202755734
364	level	202563642
365	digital	202346767
366	profile	201854745
367	previous	201692678
368	form	201395192
369	events	201235454
370	love	201063526
371	old	199694226
372	john	199642644
373	main	199616754
374	call	199608869
375	hours	198242904
376	image	197874283
377	department	197293325
378	title	196676017
379	description	196301245
380	non	196109547
381	k	195647953
382	y	195011703
383	insurance	193271293
384	another	192535750
385	why	192000672
386	shall	191963867
387	property	191783393
388	class	191087771
389	cd	190859046
390	still	190433487
391	money	190205072
392	quality	189509533
393	every	189325890
394	listing	188985252
395	content	188880495
396	country	188691168
397	private	187885878
398	little	187142519
399	visit	187062316
400	save	186091095
401	tools	185555874
402	low	184815478
403	reply	184777992
404	customer	184406888
405	december	183237239
406	compare	183202885
407	movies	182739567
408	include	182579275
409	college	182545426
410	value	182061247
411	article	181969355
412	york	181556155
413	man	181445531
414	card	181387042
415	jobs	181075605
416	provide	181040994
417	j	180739802
418	food	180144029
419	source	179963886
420	author	179813446
421	different	179794224
422	press	179652730
423	u	179615587
424	learn	179428286
425	sale	179224570
426	around	178810033
427	print	178250872
428	course	177976652
429	job	177706929
430	canada	177153952
431	process	176829177
432	teen	176301486
433	room	176299905
434	stock	176295589
435	training	176129154
436	too	176093255
437	credit	175916536
438	point	175527859
439	join	174297802
440	science	174232809
441	men	174058407
442	categories	173839008
443	advanced	173422161
444	west	173346868
445	sales	173244220
446	look	173043002
447	english	172371546
448	left	171752631
449	team	171687825
450	estate	169256248
451	box	169231297
452	conditions	168957006
453	select	168673045
454	windows	168532149
455	photos	167827453
456	gay	167587791
457	thread	167518537
458	week	167202060
459	category	166811948
460	note	166657334
461	live	166005029
462	large	165863763
463	gallery	165671626
464	table	165341452
465	register	164834442
466	however	163957176
467	june	163951797
468	october	163363054
469	november	163308383
470	market	162390150
471	library	162076395
472	really	162033390
473	action	162023431
474	start	161913408
475	series	161518557
476	model	161205740
477	features	160961088
478	air	160850401
479	industry	160812623
480	plan	160746244
481	human	160573748
482	provided	159785849
483	tv	159603914
484	yes	159595214
485	required	159478972
486	second	159343399
487	hot	159287179
488	accessories	158982297
489	cost	158887256
490	movie	158421100
491	forums	158410645
492	march	158281269
493	la	157960401
494	september	157182255
495	better	157079378
496	say	156845267
497	questions	156703712
498	july	156667525
499	yahoo	155733641
500	going	155284081
501	medical	155254497
